Year	Date	Headliner	Venue	Act to Find	Search URL	Setlist URL
2024	2024-06-16	Shaw Davis & The Black Ties	Rams Head On Stage	Soul Miners Union	https://www.setlist.fm/search?query=artist%3A%28soul+miners+union%29+date%3A%5B2024-06-16%5D	
2024	2024-06-25	Mikaela Davis	Pearl Street Warehouse	Rich Ruth	https://www.setlist.fm/search?query=artist%3A%28rich+ruth%29+date%3A%5B2024-06-25%5D	
2024	2024-06-27	Christone 'Kingfish' Ingram	The Fillmore Silver Spring	Mathias Lattin	https://www.setlist.fm/search?query=artist%3A%28mathias+lattin%29+date%3A%5B2024-06-27%5D	
2024	2024-06-29	Joan Jett & The Blackhearts	Merriweather Post Pavilion	Alanis Morissette	https://www.setlist.fm/search?query=artist%3A%28alanis+morissette%29+date%3A%5B2024-06-29%5D	
2024	2024-06-29	Joan Jett & The Blackhearts	Merriweather Post Pavilion	Morgan Wade	https://www.setlist.fm/search?query=artist%3A%28morgan+wade%29+date%3A%5B2024-06-29%5D	
2024	2024-07-10	Los Lobos	The Birchmere	Chad Hollister	https://www.setlist.fm/search?query=artist%3A%28chad+hollister%29+date%3A%5B2024-07-10%5D	
2024	2024-07-18	Tab Benoit & Anders Osborne 	The Birchmere	Mike Zito	https://www.setlist.fm/search?query=artist%3A%28mike+zito%29+date%3A%5B2024-07-18%5D	
2024	2024-08-07	Slash	Koka Booth Amphitheatre	Robert Randolph & The Family Band	https://www.setlist.fm/search?query=artist%3A%28robert+randolph+%26+the+family+band%29+date%3A%5B2024-08-07%5D	
2024	2024-08-07	Slash	Koka Booth Amphitheatre	Larkin Poe	https://www.setlist.fm/search?query=artist%3A%28larkin+poe%29+date%3A%5B2024-08-07%5D	
2024	2024-08-07	Slash	Koka Booth Amphitheatre	ZZ Ward	https://www.setlist.fm/search?query=artist%3A%28zz+ward%29+date%3A%5B2024-08-07%5D	
2024	2024-09-07	Kingsley Flood	Pearl Street Warehouse	The Beanstalk Library	https://www.setlist.fm/search?query=artist%3A%28the+beanstalk+library%29+date%3A%5B2024-09-07%5D	
2024	2024-09-18	Selwyn Birchwood	The Vault at Capital One Hall	Carly Harvey	https://www.setlist.fm/search?query=artist%3A%28carly+harvey%29+date%3A%5B2024-09-18%5D	
2024	2024-09-19	Marcus King	Warner Theatre	Brittney Spencer	https://www.setlist.fm/search?query=artist%3A%28brittney+spencer%29+date%3A%5B2024-09-19%5D	
2024	2024-10-03	The Lone Bellow	The Birchmere	Taylor Ashton	https://www.setlist.fm/search?query=artist%3A%28taylor+ashton%29+date%3A%5B2024-10-03%5D	
2024	2024-10-09	Vanessa Collier	The Hamilton Live	Sweet Leda	https://www.setlist.fm/search?query=artist%3A%28sweet+leda%29+date%3A%5B2024-10-09%5D	
2024	2024-10-13	Jake Xerxes Fussell	Songbyrd Music House	David Moore	https://www.setlist.fm/search?query=artist%3A%28david+moore%29+date%3A%5B2024-10-13%5D	
2024	2024-10-16	Ana Popović	The Hamilton Live	Carly Harvey	https://www.setlist.fm/search?query=artist%3A%28carly+harvey%29+date%3A%5B2024-10-16%5D	
2024	2024-11-16	The Wood Brothers	The Music Center at Strathmore	Lindsay Lou	https://www.setlist.fm/search?query=artist%3A%28lindsay+lou%29+date%3A%5B2024-11-16%5D	
2024	2024-11-20	Samantha Fish	Warner Theatre	Ghalia Volt	https://www.setlist.fm/search?query=artist%3A%28ghalia+volt%29+date%3A%5B2024-11-20%5D	
2024	2024-11-20	Samantha Fish	Warner Theatre	Canned Heat	https://www.setlist.fm/search?query=artist%3A%28canned+heat%29+date%3A%5B2024-11-20%5D	
2024	2024-12-05	Oh He Dead	The Vault at Capital One Hall	ViRG	https://www.setlist.fm/search?query=artist%3A%28virg%29+date%3A%5B2024-12-05%5D	
2024	2024-12-17	Tab Benoit	The Birchmere	Jesse Dayton	https://www.setlist.fm/search?query=artist%3A%28jesse+dayton%29+date%3A%5B2024-12-17%5D	
