Artist	Eligible	Basis	In APS	APS Page	In RHBS
Seth Walker	Yes		Yes	173	No
Shannon McNally	Yes		Yes	27	No
Shawn Colvin	Yes		Yes	103	No
Shawn Mullins	Yes		Yes	93	No
Shemekia Copeland	Yes		Yes	191	Yes
Sheryl Crow	Yes		Yes	12	No
Shooter Jennings	Yes		Yes	157	No
Sierra Ferrell	Yes		Yes	29	No
Sierra Hull	Yes		Yes	30	No
Slash	Yes		No		Yes
Slash's Blues Ball	Yes		No		Yes
SmokeFace	Yes		No		Yes
Solomon Hicks	Yes		No		Yes
Southern Avenue	Yes		Yes	165	No
Stephen Stills	Yes		Yes	215	No
Steve Cropper	Yes		Yes	223	No
Steve Earle	Yes		Yes	136	No
Steve Forbert	Yes		Yes	171	No
Steve Lukather	Yes		No		Yes
Steve Mackey	Yes		No		Yes
Steve Poltz	Yes		Yes	134	No
Steven Van Zandt	Yes		Yes	225	No
Sue Foley	Yes		No		Yes
Sugaray Rayford	Yes		No		Yes
Susan Tedeschi	Yes		No		Yes
Suzanne Santo	Yes		Yes	122	No
Suzanne Vega	Yes		Yes	224	No
T Bone Burnett	Yes		Yes	107	No
Tab Benoit	Yes		No		Yes
Taj Farrant	Yes		No		Yes
Tash Neal	Yes		No		Yes
Teddy 'ZigZag' Andreadis	Yes		No		Yes
Tedeschi Trucks Band	Yes		No		Yes
The Avett Brothers	Yes		Yes	95	No
The Bacon Brothers	Yes		Yes	127	No
The Black Crowes	Yes		Yes	97	No
The Fabulous Superlatives	Yes		Yes	55	No
The Flatlanders	Yes		Yes	174	No
The Lone Bellow	Yes		Yes	182	No
The McCrary Sisters	Yes		Yes	128	No
The Noisemakers	Yes		Yes	147	No
The O'Connor Band	Yes		Yes	179	No
The Reverend Shawn Amos	Yes		No		Yes
The Steel Wheels	Yes		Yes	213	No
The Subdudes	Yes		Yes	204	No
The Trishas	Yes		Yes	181	No
The War and Treaty	Yes		Yes	28	No
The Wood Brothers	Yes		Yes	106	No
The Wooten Brothers	Yes		Yes	221	No
Theresa Williams	Yes		Yes	59	No
Three Women and the Truth	Yes		Yes	76	No
Tim Easton	Yes		Yes	24	No
Toby Lee	Yes		No		Yes
Tom Paxton	Yes		Yes	56	No
Tommy Emmanuel	Yes		Yes	20	Yes
Tony Joe White	Yes		Yes	201	No
Toronzo Cannon	Yes		No		Yes
TOTO	Yes		No		Yes
Trey Hensley	Yes		Yes	168	No
Ty Taylor	Yes		No		Yes
Tyler Bryant	Yes		No		Yes
Tyler Bryant & The Shakedown	Yes		No		Yes
Vanessa Collier	Yes		No		Yes
Vince Gill	Yes		Yes	35	No
Vintage Trouble	Yes		No		Yes
Walter Trout	Yes		No		Yes
Wanda Jackson	Yes		Yes	31	No
Warren Murrel	Yes		No		Yes
Webb Wilder	Yes		Yes	154	No
Whitehorse	Yes		Yes	17	No
Whitney Rose	Yes		Yes	96	No
Wilco	Yes		Yes	11	No
Will Hoge	Yes		Yes	189	No
Will Kimbrough	Yes		Yes	194	No
