Artist	Album URL
Luther Dickinson	https://photos.redhat-bootlegs.net/share/gl4aZoNP05VKubu9lbgtsckF2r1O9xtzWqqDfeZxTwXO1BYzRQkdptDw-GEkmEV3SDg
Lydia Slagle	https://photos.redhat-bootlegs.net/share/91TKeilkAp69hBzDEjnPFI9gmic_o0_0rRy93Sulzn2zd1L-xcA8hQhznv8ABnIwmrw
Margaret Glaspy	https://photos.redhat-bootlegs.net/share/EFL3dQrjZw70jG29LDkWpDztDX7LbuxBrNMJyBUSMQSbLiysKnPYRc2oFOqN5FGTPK8
Matteo Mancuso	https://photos.redhat-bootlegs.net/share/V7j4bfAOJBMim02bp-HWjgcaQMiV5Co6t3au1Tx4NO7mJLF1HFR8uqhoiIfYaSRf4Tw
Meghan Parnell	https://photos.redhat-bootlegs.net/share/4hPiYKAGLn6-H4Mcgqeu6HkGrvcduRb_7seWg3goRcAt4Exwjc_qrXYC0ecKR9qerYk
Mikaela Davis	https://photos.redhat-bootlegs.net/share/EAT--svhqupNM_qgsg-J2FKRAZVrNjjbqArmq3ZkI1UULs-CjdmRS3yR2-PYDGGfE_0
Mohini Dey	https://photos.redhat-bootlegs.net/share/yrRaYgMmiSwXyPzKuABw00gsfiFSvc5KbnKUA7uh-ueSH3dbB498aeVxLeXMe5GOPQU
Oliver Wood	https://photos.redhat-bootlegs.net/share/3Dsh6eNas2WlELri8i6Wqu1Cq8sHraJ7zSi8lQf-sj-dqIeOt0ypi0RfJJwmbDuOmzk
Ori Naftaly	https://photos.redhat-bootlegs.net/share/U57tGfrsXb_6ZtSB_ZNjwjarNjUGzaJpyHod5BhucseTcnD6sCHNnCryg5_3kEgNwzQ
Sabine McCalla	https://photos.redhat-bootlegs.net/share/SNVpTfFp9AjK4bu9ld3vjgEWz64l-zR1aXp6zGKdZZ4XPQ9vlyqFOQH4izWs_TEtwFA
Samantha Fish & Jesse Dayton	https://photos.redhat-bootlegs.net/share/MTibzwTcRIn4hHPRl6gkCSaX-WDhj49rK41A17CPbKu4WdQEfG1q4JtEMbah-Jf4dAM
Shaw Davis & The Black Ties	https://photos.redhat-bootlegs.net/share/8IbG8ye_OwsExkKjbIfS5gCwfrE9oXwlxl174d4pvVlYEopEDITgnIS0szzp_mLyb9E
Shemekia Copeland	https://photos.redhat-bootlegs.net/share/8DsenJcp_ld3kqAXx5EvhXbAiVQsFXMbEvwIwLYYHxcVh3DrFzKGthviXVaojv7aS-8
The Heavy Heavy	https://photos.redhat-bootlegs.net/share/gF2DR6JKCG4eT3uIQRUNtSC4Zv5_n5u4t5QX5PN32e_WPvF1B3xKOL8rYTPp0LO44fI
Tierinii Jackson	https://photos.redhat-bootlegs.net/share/zm2ntxINjS_qT9vKAQ21hHY6N7FZQajL7MA0WpLwUX9YBWlmVjpUJKCe02BhZ45X0nw
Tikyra Jackson	https://photos.redhat-bootlegs.net/share/tMtBZ0ZDB4JOEQc-UR7UntGaFgptl1qYIkpTkeOBOn84wpA6zD92Cz6o-C24rzYyMb0
Tommy Castro & the Painkillers	https://photos.redhat-bootlegs.net/share/m9S6dyW9M-3qbzz93rongnQEW2p06cXjYnFakNkDQZS10IfqYFwd6RlLOkFZp5TNers
Trevor Lewington	https://photos.redhat-bootlegs.net/share/ufZISNP8d1BhXLteh_IYq-I4QK9jOW3xzD5OGH5hIg-O_lFYa07b2l5yK9XrBLxQ5UI
Trombone Shorty & Orleans Avenue	https://photos.redhat-bootlegs.net/share/PejYA1Xc3iCQ4hnPv9CRg43IejTywA7V_UBxabNj1h6UObPV5grApQrF0HQDCxVVLvw
Victor Wooten	https://photos.redhat-bootlegs.net/share/3GRHRPNZlBNC6b4llh3wL8qHR1gffClM4ol-AUwEoeIvDFtKZZ1VPYBo8O8XmWsgADU
Yasmin Williams	https://photos.redhat-bootlegs.net/share/SeDKJxriBSgdmpiZmgkQd90mIOs5wTeP3tCMu6e4_UxluzMI_7SxciukC2lY8WmJXDE
Zach Williams	https://photos.redhat-bootlegs.net/share/wd30EqSNr9bhryRaCqn8TwWZpr2zmwbJVZ5HiHZLQ5Fl4sgRP-u0rIPMsuAsjFo_RP0
Whitney Mongé	https://photos.redhat-bootlegs.net/share/k-5FzwKhwmt5gxV7ysSW2aXksGgqqmOAk0wChOSgpbOQqiLTMh_WFzf2Pqv9ZN2n6KM
John Primer	https://photos.redhat-bootlegs.net/share/2Ic_E60m8e1O6hBoOXZS2bDX9aESRMCVwbtz0UvttXrhE3BE4vJX9K40x8odB8lgWXw
Steve Bell	https://photos.redhat-bootlegs.net/share/bzgmVr7fpWphHhamJLWJUhtDlwyyDv3jWejVxAr-oy0419Mudy42XKt0v6iRQ9BAlOs
Kent Burnside	https://photos.redhat-bootlegs.net/share/QKObPsci6trnpGB2fapFqsYaCF5wwbSnMA6sVLPs5jBlfPJaeTzWmo1c6vlFnk33-fw
