source_row	google_link	google_desc	immich_candidates	immich_desc	match_id	immich_link	confidence	signals	notes
artist-photos.tsv:Valerie June @ Publick Playhouse 10/5/24 ; history/2024.tsv:2024-10-05 Valerie June	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipO6igN8G9386gPPUrtjA9u_KmpOnzD4Bn_hYB0N?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Valerie June @ Publick Playhouse 10/5/24 / Valerie June at Publick Playhouse, Landover, MD, USA	580bfe79-9eda-4112-9b4b-922dc5807c44		580bfe79-9eda-4112-9b4b-922dc5807c44	https://photos.redhat-bootlegs.net/share/xgDSZ6DBv4jtjdyjOOr0dlh2Bsqi-k4wtWgs1MFN6HvY66HyxS1quKmjyVSt0Oq0HAg	3	caption:2024-10-05	
artist-photos.tsv:Laura Chavez @ Hamilton Live 10/9/24 | (	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOdhEmQul8iSy64tuWdhuuF5KbrE22r1RdEAMt4?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Laura Chavez @ Hamilton Live 10/9/24 | (very averse to photos, very incredible on guitar)	fe8bfd52-d453-4f9f-98f0-845ba670c839		fe8bfd52-d453-4f9f-98f0-845ba670c839	https://photos.redhat-bootlegs.net/share/DEA9_26dn6siQtbpaG44soazowuK5DBwYOtlotxHM-FRLae-hUuGjXTngQkJebzDs70	3	caption:2024-10-09	
artist-photos.tsv:Jake Xerxes Fussell @ Songbyrd Music Hou ; history/2024.tsv:2024-10-13 Jake Xerxes Fussell	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMrNix4XAaOwL2DdmhvsdeIjISSOHhw5aezahSL?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Jake Xerxes Fussell @ Songbyrd Music House 10/13/24 / Jake Xerxes Fussell at Songbyrd Music House, Washington, DC, USA	d88b2969-20ee-48ba-897e-46e83d121435		d88b2969-20ee-48ba-897e-46e83d121435	https://photos.redhat-bootlegs.net/share/aMc_KlI130Jx61yIwmnmr3VAZEkiqEyDrraQ9puIUF5BkLQKi-1bFsRusi3tFfslJZU	3	caption:2024-10-13	
artist-photos.tsv:Vanessa Collier @ Hamilton Live 10/9/24	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPxr8FYiGCq679hg76GptTqUOMy_8EsUIBr9Itr?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Hamilton Live 10/9/24	c9aaf2d0-808b-4028-94f0-a8af5c783a2b		c9aaf2d0-808b-4028-94f0-a8af5c783a2b	https://photos.redhat-bootlegs.net/share/fOprZphi1cseE5_thi549hHerULZfpJQ1xw0Fr-WaWnL2x9tyr2mZKOfR67P1An9ZHk	3	caption:2024-10-09	
artist-photos.tsv:Ana Popovic 10/16/24 @ Hamilton Live ; history/2024.tsv:2024-10-16 Ana Popović	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPWxjrCqE5HAmFc0xMozC5IHHJaR8GisoSRdsYv?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ana Popovic 10/16/24 @ Hamilton Live / Ana Popović at The Hamilton Live, Washington, DC, USA	8c5534c5-49a5-4fb2-898c-998bb5edcf19		8c5534c5-49a5-4fb2-898c-998bb5edcf19	https://photos.redhat-bootlegs.net/share/3P3U9VEm0hGULt-JvN8Pg9yJ-jeQCKOPzgXEV3kvr8QyrK7rYVijv3ilA2ZZ3NxF8Mo	3	caption:2024-10-16	
artist-photos.tsv:Shemekia Copeland (singer) @ Rams Head 1 ; history/2024.tsv:2024-10-19 Shemekia Copeland	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNKYfOTXd4oGVHoS3aPbWjIjzSlVwzozwGWyO8x?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Shemekia Copeland (singer) @ Rams Head 10/19/24 / Shemekia Copeland at Rams Head On Stage, Annapolis, MD, USA	12e76059-b14f-4a31-8a99-93ff76737758		12e76059-b14f-4a31-8a99-93ff76737758	https://photos.redhat-bootlegs.net/share/Q47zB_VMBSdqjLbbEcUpejKRDAbcnKW8hd_w6K6lSjNmuhKHY4148TE-RN9DLGt7m8Y	3	caption:2024-10-19	
artist-photos.tsv:Albert Cummings @ The Collective Encore  ; history/2024.tsv:2024-11-08 Albert Cummings	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPuM_WTyYbHSxIC46HET7F0V684FLfr0_-j-8Xo?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Albert Cummings @ The Collective Encore 11/8/24 / Albert Cummings at The Collective Encore, Columbia, MD, USA	6d99a5cc-fdc6-4e4e-88c1-83455533635c		6d99a5cc-fdc6-4e4e-88c1-83455533635c	https://photos.redhat-bootlegs.net/share/O18KqwAtaFS9vcFs1K9Gg2iROktJgdNxX9S-ggaAXpKH5gWEsmr2Fx9RMgDkzOeKcp8	3	caption:2024-11-08	
artist-photos.tsv:Augustus Tritsch @ The Kennedy Center  1 ; history/2024.tsv:2024-11-09 Jake Blount	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOK0uooNqpdl-iD8ySWtkMKZ6SMxaBYnGMm7ys5?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Augustus Tritsch @ The Kennedy Center  11/9/24 / Jake Blount at Millennium Stage, Washington, DC, USA	2118903f-6764-4a4d-84ce-f7c0e1d7ed4a		2118903f-6764-4a4d-84ce-f7c0e1d7ed4a	https://photos.redhat-bootlegs.net/share/DNRxBFVv4wKfs-pMhf6f432w1NNeTsKXmn6APC2WySvMRLRFuuD91M5mEclMXgAj3fo	3	date:2024-11-09|caption:2024-11-09	
artist-photos.tsv:Lindsay Lou @ Strathmore 11/16/24 ; history/2024.tsv:2024-11-16 The Wood Brothers	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNcQb6emMHD1SuqavlBJ8chv3RsAnsQFdLC1osl?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Lindsay Lou @ Strathmore 11/16/24 / The Wood Brothers at The Music Center at Strathmore, North Bethesda, MD, USA	8451e999-fe63-4224-9967-dc5b67f6225f		8451e999-fe63-4224-9967-dc5b67f6225f	https://photos.redhat-bootlegs.net/share/Y9sxMeAhxVrvxEmyglGX9IQYi5v6AUiPbGjVENoUE269MlJaTtiW6nT05ndWfXFfBAI	3	caption:2024-11-16	
artist-photos.tsv:Ghalia Volt @ Warner 11/20/24 ; history/2024.tsv:2024-11-20 Samantha Fish	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipP-tf1uE-Vwr47WSiNK0PtdNLRdgk_tH0gL6lrJ?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Ghalia Volt @ Warner 11/20/24 / Samantha Fish at Warner Theatre, Washington, DC, USA	f647de81-2986-4f43-8809-f1a7ad91746e		f647de81-2986-4f43-8809-f1a7ad91746e	https://photos.redhat-bootlegs.net/share/Gd5vrBGMdqVuosW78roKX_cVkLN44TvFsJak1P5L5rZxFG-KTfjVXMHvXXaU-X3a8TE	3	caption:2024-11-20	
