Date	Share Link	Caption / Artist Info
Nov 17, 2024, 10:14:35 PM	https://photos.redhat-bootlegs.net/share/Y9sxMeAhxVrvxEmyglGX9IQYi5v6AUiPbGjVENoUE269MlJaTtiW6nT05ndWfXFfBAI	Lindsay Lou @ Strathmore 11/16/24
Nov 21, 2024, 2:00:46 PM	https://photos.redhat-bootlegs.net/share/Gd5vrBGMdqVuosW78roKX_cVkLN44TvFsJak1P5L5rZxFG-KTfjVXMHvXXaU-X3a8TE	Ghalia Volt @ Warner 11/20/24
Dec 23, 2024, 5:42:12 AM	https://photos.redhat-bootlegs.net/share/w66WyJ-3X1BA_hqvLkFlHrw5d8-ZU4txNeU6R6w-U-TXAVeDkSxamPfkG9I0D6otijA	Albert Castiglia @ JVs 12/22/24
Jan 11, 2025, 3:22:14 PM	https://photos.redhat-bootlegs.net/share/m_sxGPPL2nKpHiS8KVQUpA_FPxUa7rYlKOB48V06aTfz0mkhrcJkgCPIPKHaSL98bUQ	Keith Roberts of Young Dubliners @ Pearl Street 1/10/2025
Jan 11, 2025, 3:22:14 PM	https://photos.redhat-bootlegs.net/share/CaUuw0w2sUU8yoeLWPaMGCMevlsbAazTmoTgk3OQ41IDaECViQkS7SJRmEvZmabaA94	Chas Waltz (violin) of Young Dubliners @ Pearl Street 1/10/2025
Jan 26, 2025, 12:42:10 AM	https://photos.redhat-bootlegs.net/share/q5CGY1H72trGJszIjq-POVVvrRPDqmoE3lfwxhLmDqVUZq0Fc7TGzIPJziDCFCuUYlo	Oliver Wood @ Birchmere 1/22/25
Jan 26, 2025, 12:42:10 AM	https://photos.redhat-bootlegs.net/share/GaPEhO6S6wFeJG86He8hSHBjjzSkBJnTPaS5_RURlKEzqqcO6UztyEQGIeyQ25GAVPY	Langhorne Slim @ Birchmere 1/22/25
Feb 8, 2025, 4:42:21 PM	https://photos.redhat-bootlegs.net/share/MdJ5YgMsoHc0CR1dUmxIzfsvQfrBosiZeG75ZaB0GuPC-MBroE33g2vyaupO_BRaN5E	Yasmin Williams @ Birchmere 2/7/25 |  | fresh from her NPR Tiny Desk taping https://www.npr.org/2025/02/07/g-s1-45615/yasmin-williams-tiny-desk-concert
Feb 8, 2025, 9:03:24 PM	https://photos.redhat-bootlegs.net/share/SZgXtV7doaixEuM3Rvgka7qy4aAux5OVlAHFKi1e_b2MlWH6OnmkHwxFR2srRuEEuOo	Sue Foley @ Hamilton Live 2/6/25
Feb 27, 2025, 2:51:50 PM	https://photos.redhat-bootlegs.net/share/PJA3_5Uhrb2x6_XJA-V6Gr3o6SBSZU_h5qXCQrrRSXF7TCUS7CESVw_1ucbUNiVFNMI	Trevor Lewington of Enter the Haggis @ The Barns at Wolf Trap 2/26/25 my birthday, show #2 of the Exit The Haggis farewell tour
Feb 28, 2025, 10:13:29 PM	https://photos.redhat-bootlegs.net/share/7omzZOkg705rk8x-lrp7H-jYNr49gZw7g6VBih8PqWScX0RME_3s3DrdGFWUuHIYvH0	Mike Zito @ Hub City Vinyl Live 2/27/25
Mar 22, 2025, 1:07:09 PM	https://photos.redhat-bootlegs.net/share/Rt53C6PhWK5r3VD1EdSi5L0dr6mvtiXWrseGrVe_OeJG26MV5pwbiL8AIWk5mR_6dos	Tikyra Jackson, drummer for Southern Avenue - Ram's Head Live on Stage 3/21/25
Mar 22, 2025, 1:07:09 PM	https://photos.redhat-bootlegs.net/share/ARAv7SclXiHJaFhZz-Hzy0CazfvcqW6Oz5xrhH5YGdFcW0lmtXmC48ZRy0cLfSdlEnM	Ori Naftaly of Southern Avenue and his youngest fan. Ram's Head Live on Stage 3/21/25
