Timestamp	Item Type	Item ID	Title	Operation	Old Description	New Description
2026-04-03T00:19:44.166490	video	Dty4EiXmVk0	North Mississippi All-Stars LIVE - Down By the Riverside (bootleg)	search_replace	traditional cover from Ram's Head Live on Stage (MD) on 07/11/25	traditional cover from Rams Head Live on Stage (MD) on 07/11/25
2026-04-03T00:19:45.148319	video	JbusiIfCrW4	North Mississippi All-Stars LIVE - Run On? (bootleg)	search_replace	not sure of the song title from Ram's Head Live on Stage (MD) on 07/11/25	not sure of the song title from Rams Head Live on Stage (MD) on 07/11/25
2026-04-03T00:19:45.927439	video	Q-yzZpP7ez0	Vanessa Collier LIVE - Sweatin' Like a Pig, Singin' Like an Angel (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 02/14/26	from Rams Head Live on Stage (MD) on 02/14/26
2026-04-03T00:19:46.779464	video	J-G0BC8yPyw	Vanessa Collier LIVE - Bloodhound (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 02/14/26	from Rams Head Live on Stage (MD) on 02/14/26
2026-04-03T00:19:47.679285	video	PU7gexy6hNg	Vanessa Collier LIVE - When It Don't Come Easy (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 02/14/26	from Rams Head Live on Stage (MD) on 02/14/26
2026-04-03T00:19:48.288088	video	YzWxd5CiPFo	Vanessa Collier LIVE - Take Me Back (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 02/14/26	from Rams Head Live on Stage (MD) on 02/14/26
2026-04-03T00:19:49.179799	video	9xbJwkUPtU8	Albert Castiglia LIVE - Have You No Shame (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/07/26	from Rams Head Live on Stage (MD) on 03/07/26
2026-04-03T00:19:50.000273	video	CCbRnH_oU4I	Albert Castiglia LIVE - Don't Burn Down The Bridge (bootleg)	search_replace	Albert King cover from Ram's Head Live on Stage (MD) on 03/07/26	Albert King cover from Rams Head Live on Stage (MD) on 03/07/26
2026-04-03T00:19:50.751779	video	cjsheRYv7Nw	Albert Castiglia LIVE - EPIC Hendrix jam - Little Wing/Voodoo Chile/Hey Joe (bootleg)	search_replace	Jimi Hendrix tribute medley from Ram's Head Live on Stage (MD) on 03/07/26	Jimi Hendrix tribute medley from Rams Head Live on Stage (MD) on 03/07/26
2026-04-03T00:19:51.795034	video	BFQd4fz8XMY	Albert Castiglia LIVE - Let the Big Dog Eat (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/07/26	from Rams Head Live on Stage (MD) on 03/07/26
2026-04-03T00:19:52.640259	video	J_bMCNRZj68	Albert Castiglia LIVE - Big Toe (bootleg)	search_replace	set opener from Ram's Head Live on Stage (MD) on 03/07/26	set opener from Rams Head Live on Stage (MD) on 03/07/26
2026-04-03T00:19:53.759204	video	Xgublky06wg	Joanne Shaw Taylor LIVE - Black Magic (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
2026-04-03T00:19:54.660998	video	JUBw-SdMhKU	Joanne Shaw Taylor LIVE - What Good Is My Love? (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
2026-04-03T00:19:55.612073	video	0NDInD81sC8	Joanne Shaw Taylor LIVE - Summertime (bootleg)	search_replace	George Gershwin cover (via Ella Fitzgerald & Janis Joplin) from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	George Gershwin cover (via Ella Fitzgerald & Janis Joplin) from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
2026-04-03T00:19:56.303274	video	54v0BAJOhbs	Joanne Shaw Taylor LIVE - The Chain (bootleg)	search_replace	Fleetwood Mac cover from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	Fleetwood Mac cover from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
2026-04-03T00:19:57.564714	video	vdes4yafsY8	Joanne Shaw Taylor LIVE - Look What I've Become (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
2026-04-03T00:19:58.260523	video	dvxTAvtnn5E	Joanne Shaw Taylor LIVE - Hell of a Good Time (bootleg)	search_replace	from Ram's Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor	from Rams Head Live on Stage (MD) on 03/28/2026 @joanneshawtaylor
