link_key	caption	gp_thumb
AF1QipNL2aq_mApSizW5BeQw-TThX1F318zqRSoIq51h	Victor Wooten 10/5/23 @ Fillmore at Silver Spring	https://lh3.googleusercontent.com/pw/AP1GczOrrtzswsWS3uo_mX1Q0Rz-GDvOTXQZYqNjsXBEW9a24rFmtG1A3b65roC0x8C1B2fbO6XhM-hmUvIx_zR0a-2uA0Ipfu399ONbOoViWZp3KCJeWY8
AF1QipNL5BBTKE4ZWm8S8ySbbv9jwXiDQu6MF3puzTNb	illiam Turner and Georgie Fuller of The Heavy Heavy @ The Atlantis 5/13/25	https://lh3.googleusercontent.com/pw/AP1GczOgnVmpau4QPk32dZ6hwW0Lk3iEEFZbyMOYPBkh7dZx8YSAod1PEiBAoDlYH8MkMpUOcVaFxQb8eTCUSScwWyED0U-PBd9evRVzvSxXxRx12nPgF-c
AF1QipNOMXDgtSn3RohK0dpzHRQ48Tjwdn6sVPrwPJTy	Joanne Shaw Taylor ~ Shane Saunders @ Ram's Head 3/28/26 (photobomb, JST doesn't stick around for fan photos)	https://lh3.googleusercontent.com/pw/AP1GczP5MvX-6BrW4Vy-uim10bp-s6D0LI2HBe3tPqyVL8Xv6BJMg50srIfzPPzlp0bpnLkWmTB_U5th3JgWU_Y6WA9fNdx8DmUzGHbWsNjIcWQ2T87gWmY
AF1QipNQfOMsL3jVvNfQBbyJBmQZfVYr-j2_J_9fRzz0	Samantha Fish + Jesse Dayton @ The Fillmore Silver Spring 12/3/23	https://lh3.googleusercontent.com/pw/AP1GczMckr06NcD3I_1d0EOd_DuRQD5ihLsAzx5ZxTrL_NUSIewk6j1aN068L50vYcCs5NNIkV8Ppk0iMwSyrmFaHJLdt5DT6uVF-C6jQNvZ1iNexCYUcVo
AF1QipNR4XH4rp3M0TVDhko6qsiHxlbjTVzB2qDEYanwUvGvZfEr5zL93fZRBoIhdDHwFw		https://lh3.googleusercontent.com/pw/AP1GczP41_o0Ntb8uVr2CnDcw3waTGNnbhfsZTL_hxx3fvb6y0YaYjz72qq-1woJPyTKpmcmXuusfgk_d8kn256A4TzUnhj1JpgGQ83K_E6CWfpAeSLgM5o
AF1QipNTILxPZR8qR-ZDXqCPQLiraXzcwcFzDfomXOLe	Live music binge  - this time I got a photo with the band Larkin Poe at 9 30 Club 03/09/2023	https://lh3.googleusercontent.com/pw/AP1GczMK6iNAefziwDJcqxmSB8rFxWQ8dlVGfB08khfU6NngLq0A53oHBFN_NbyDAcWUlWWK3DeHguORF8OOTnsNlvIIyGl0EH17HfUMPD3ovHU7SiQx4bI
AF1QipNTakvZ6m1PdFylSz0OIZlfWt6sUjMiPfFC_LsAb7JaghL2PL5t1vw0SVcbXvX4Ow		https://lh3.googleusercontent.com/pw/AP1GczPfaBTc1d4d37FInEU-CXztf8TNxzygXXgG4Qi88Yj4AszigQnXSl0QcXY1XmKy763InnzF7IWH1FxixvPYpdo3gxrNbIMgDe7KAGSx_rQLg8ic_JM
AF1QipNVDgvTwjoUZsep1aH5fLYKuFNtd3xTKJtUd51XEEPg-iZ1JYPMYltfhP7VSjlb_Q		https://lh3.googleusercontent.com/pw/AP1GczOTgTas05YXIhmsxcaRQpQR397IvyJGMhbefZTKJv4ruVkHXPZ54oSKpzzK9HNL7Qlph7DSGRvGJbAKIuveWyo9A2MgsSKVdsc6zyAx8gCGMPIbuE4
AF1QipN_i2eT6e_fE92HurEry5HtYuYKVtYQMCCYg5M4	Sonny Landreth @ Hamilton Live 9/13/23	https://lh3.googleusercontent.com/pw/AP1GczP-Hc6oRKTzGOc2YmX0Fbdmen0OMY1TxUGBoluT2vjJiB8oPaVMiprV73a4TSmCceCE3uNJLaPT0jbWDzK69nX1kwdFn11O41xdsfqUaafhUQMhv4Q
AF1QipNcQb6emMHD1SuqavlBJ8chv3RsAnsQFdLC1osl	Lindsay Lou @ Strathmore 11/16/24	https://lh3.googleusercontent.com/pw/AP1GczMuook6oQXGGj_i1dHmH2rODvnGvhH1VN59EMXkMV7NOkDr8V6-jv1U7ad1PTSdEC3ufaiLRVPAoCCpFhKhFdQheDFva9itAPKotFiuRhiZ7NWMzmY
AF1QipNdjbepABJkPTjOb-X1T2PyvIgpR_iTtLB7XoF47th38ODdwP8F09cZX0gbFVYcJg		https://lh3.googleusercontent.com/pw/AP1GczPosvmTKKWBEjI3ai7n4f-PWxxaqGTGTrWt347Tazv5A2loAWjgPhsNIOh7b3ZyUuOVtwTUUFVDUe7T2qZHfHbrds8-0quUAnTCWCQdl1UDEVeXeWE
AF1QipNdsTpL2rZd-CwmB-Ti9MFLyybS7LPGquDiOzZbq1SGy-3d4_nFbwuIMQlBZ2Ku9Q		https://lh3.googleusercontent.com/pw/AP1GczMrrqf7prFuuOWW4KsVaVz4_Xg7CmTSc9qCmCNFrXGPK67yCafS7su2i9355XoE8KArmXt78BBgID-KrkbBssLqZgwRJWqzjxPrIUfL90tRCDKJNQo
AF1QipNgb7m7ziG5mQBBvhZIGLjoymxzKD5GacoZy92x	Keith Roberts of Young Dubliners @ Pearl Street 1/10/2025	https://lh3.googleusercontent.com/pw/AP1GczNOiMKeqcHmOiTHjvXVwXhQAvF3oPrXolE0Ijk2NjWolpYz999ZVPprXNhaZw1wQ-yy0kAGdmDixl2r3IbAX3L4nr9yOgB6Zy2jphVjT5yiQ8Va_es
AF1QipNgwRe2LYvOEPVEUdaJ9nMXlhWma1HyeEfXAVPPKXXMhLqQ-__H16tPaz92JYJ8nw		https://lh3.googleusercontent.com/pw/AP1GczOf19dJbONHNi2XjnYKqeW9px-aKxzL0TGAHyxn-sRBW-AU9NbuUKc4PWpMKZo1Bfy1n5onrRwOh6iKc8esO_dxyaKRjJKgLHL0f6-iy0pef2XZUjI
AF1QipNkjamoVNB6r3gdttJXrjVj4pUT6YRmKi6kVFBg	Adia Victoria 9/27/23 Clarice Smith Performing Arts Center, U-Maryland	https://lh3.googleusercontent.com/pw/AP1GczNSUfgx0GSYQ3vJO8x83QFN3BFeXHwXVYX7xYajVcdAQXiDJRP3xk8-bVtqW_D6bmF-2nc4QdOPA6tSCxmpygZpavENdTI736dBbHOb02aetAnUJJo
AF1QipNmCilow3HfMyKzh8fMnnJGIwXekhx571vKBGbL	Brandon Miller @ Pearl Street Warehouse 5/2/25	https://lh3.googleusercontent.com/pw/AP1GczN6mNn1VorhuvcTcm6wj4xrCmF-Q27WAs-HthFF-EXoyQSaIiqU_YVpZEuvKK6mxOfYh36RykJH49-981uqhAaOwpNHqxqpplZLncMkgEoaOqIupw0
AF1QipNmNG-4Njpyepxhh92wwYfMiI9KKvaEameWgzxC	Billy Gibbons and the BFGs (Chris Layton, Mike Flanigin) @ Birchmere 2/23/26	https://lh3.googleusercontent.com/pw/AP1GczMBIwG-SSK9rhp4JctCdV7s8z5UCuhbDLMTTfYi6fcemhzfRljtt238mtnxCizZBHsNMLrUbEaq4DysgRmtpddUXR-ZrXTl_uKGQYilzzSgKQtvdZ0
AF1QipNnUXarw91vxgW0fTyd9PtZYKt7ZTN3U8Gfiyrg	Joe Cabral of The Iguanas (bajo sexto and saxophone) - Hamilton Live, 5/16/24	https://lh3.googleusercontent.com/pw/AP1GczN4N6plOnZEX1uCko5Za3zM9JdbqWKG3_QIVKhYrwEO7jtqb3iEbRBvJDDh0RRdWLItJ2RWO7j_4jZUGTwaF9m5J4NyLtrvce85iJqUM83nMRolH08
AF1QipNoeU1kedn90tmktx6Ds7_QyBosXNVd7jIYqFrr	Sue Foley (again) @ Hamilton Live 3/11/26 / One Guitar Woman tour for Women's History Month	https://lh3.googleusercontent.com/pw/AP1GczOUhFK7MECZJ2yRF2rMXhlwmJWcEYRyiDvL6NtDxW-s6_ewmMYRTmiPAAcRNkObnrYlsrY3vTmuOsLgm12_2qwf5o3SiZrdvLIyza6KhaO8VZ-gF3w
AF1QipNpPdlsTkjchUlAXweBaRWsPP-KgdPiOGZJuAAF	Stageside with Luther Dickinson of North Mississippi All-Stars. Joey Williams in the background @ The Barns at Wolf Trap 11/8/25	https://lh3.googleusercontent.com/pw/AP1GczOvx55Dd4Vnb3QRJra0AR7lV2ZMBCjvICvwwfciKfyW_-ej-IE4KR96QTEIYCyhGua-epzmIPuzqfesR5v6QGOtCCIY4SeVSiHKhB9cXIXclbsoC0k
