Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Photo URL	Match Type	YT Title	Notes / Memories
2026-03-21	ZZ Ward	The Jesse Williams Band	The Birchmere	MULTI:2026-03-21	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIk2rhlv1Qix5WAIv7VS2sh	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMry9xrJJswLfoqueYuWwF_5V4lLdbtcSMMxxb6?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			VIP merch: last 2 LPs (most recent autographed), poster, lanyard. Hat signed by Jesse Williams (supporting act, not in Musicbrainz).
2026-03-28	Joanne Shaw Taylor		Rams Head On Stage	https://www.setlist.fm/setlist/joanne-shaw-taylor/2026/rams-head-on-stage-annapolis-md-4b4f67b6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJS_3J_95MsgUrbC8imcUp2	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNOMXDgtSn3RohK0dpzHRQ48Tjwdn6sVPrwPJTy?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			Photobomb photo w/ Shane Sanders and JST.
2026-03-29	Selwyn Birchwood		Collective Encore	https://www.setlist.fm/setlist/selwyn-birchwood/2026/the-collective-encore-columbia-md-5376b7d9.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIZnMv8L1lmg--gJ4Q37YSt	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipN8EZU803eHqZBNwFkvYlSGAqDGOgUgdYq0GMFN?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			RHBS signed by Selwyn Birchwood and Regi Oliver; CD & sticker merch
2026-04-11	Jake Xerxes Fussell	Sam Amidon	Union Stage	MULTI:2026-04-11	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ9p8rt-HoFfuuh1v0d1eij	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPo3JvhfhOuYwLhI5JQz_BA5I9MTw2fjBlnDlXH?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			Both artists played solo then invited the other up for part of the set. Amidon: acoustic guitar, banjo, fiddle. JXF: electric and acoustic. ~100 people. Sam mentioned folk artist parents Peter and Mary Alice (1970s). Hat questions from audience; one woman mistook Dan for NPR's Bob Boilen.
2026-04-12	Glen Hansard	Margaret Glaspy	9:30 Club	MULTI:2026-04-12	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ_AJzzzZS7URxaiVizEbmD	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOXCDUEvViNlpnBuXjcU0pTUkJ_yuVdAH2Df6fm?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			Don't Settle Tour. Stage right balcony. 3rd attempt to see Hansard. Prior Apr 2020 Glaspy headline ticket (pandemic cancellation). Glaspy plans new album + headline Fall 2026 tour. Hansard played electric and acoustic; took requests from fans on the rail; covered Gloria (Van Morrison) for encore shouting out Jose Andres. Hat autograph: Margaret Glaspy (supporting act).
2026-04-18	Every Breath You Take	The Side Cars Band	The State Theatre	https://www.setlist.fm/setlist/new-yorks-finest/2026/the-state-theatre-falls-church-va-377a95f.html	https://youtube.com/playlist?list=PLJ7S-K0cjvGIKDjrG4B2k1cIgv436mkQX	-			Impromptu show. First time seeing them since the switch from New York's Finest. Police Cars tribute bill. Did not stay for The Side Cars Band.
2026-04-19	Tommy Castro & the Painkillers		Rams Head On Stage	https://www.setlist.fm/setlist/tommy-castro-and-the-painkillers/2026/rams-head-on-stage-annapolis-md-13779d2d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLtb1aRoFLetMbd6-L235sC	https://photos.google.com/share/AF1QipNJs-TrAIl_v4dGfJX5Z23mmGkJ2dpInetPhDFdQ98aKRVp9gUCbE40khJYl6_PMg?key=UWhyMmFyaHdyTkF3MlZZUDFCTExwOGY0Z2l6VVpn			Closer To The Bone Tour. Saw Larkin Poe t-shirt and said you have good taste. Invited Charlie Owen from audience to sing Further on Down the Road (cover) before Big Sister's Radio. Signed CD.
2026-04-20	Ally Venable Band		Rams Head On Stage	https://www.setlist.fm/setlist/ally-venable-band/2026/rams-head-on-stage-annapolis-md-1b4bf1c0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKU2wdjfe27w-FPaFHSuKSO	https://photos.google.com/share/AF1QipPN2B_9OYxDWTHSrS8L1utWzZ-kPgffhN73nOLsNyoFte6FSVrKyPS3ha1k2l6E2Q?key=ODhJVDJPUWZUZUM3bXRiX1lMV0czNzRrV19wSkZn			RHBS autograph + signed photo from previous show.
2026-05-09	Vanessa Collier		Collective Encore	https://www.setlist.fm/setlist/vanessa-collier/2026/the-collective-encore-columbia-md-7377c2bd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE7Kc_0H8LtZRFyPZaEfr5	https://photos.google.com/share/AF1QipMBSojN8h9_a9v6DCdQGLkBJ9VK6eccsc5c0hDzH-kfgy4HMY_DgP_4GMDfegc8lA?key=TjJORnNzaF9OX0R1XzJSekZ6YXB5T2wtelllRW1B			Night Two; hometown show. Jennifer, Lary, and Bob in the audience. Collier called Lary by name before playing Icarus. RHBS autograph: Laura Chavez (at the bar pre-show; hat was signed 2024-09-08).
2026-05-14	The Lone Bellow	Eli Kollman	The Birchmere	MULTI:2026-05-14	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLtlZIXCYyNM5PuPKyWIJLb	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNvPTB2PuFyYcF4gdA3SAV-NB5KG2kw-bDBEjJ7?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			VIP: only 3 attendees. Sat across from Kanene Pipkin. Played 3 songs incl. Call to War. Talked about Cool Disco Dan shirt, the hat (Kanene claimed to remember it), and being mistaken for Bob Boilen - Zach mentioned hat in that context. Kanene's parents in the audience. Photo taken by Tyler (tour manager / occasional keys). Trio autographed portrait prints from 11/2024 show. Merch: lanyard + signed 2026 tour poster.
2026-05-17	Gabe Stillman	Deanna Bogart	JV's Restaurant	https://www.setlist.fm/setlist/gabe-stillman/2026/jvs-live-music-room-falls-church-va-4377b387.html	https://youtube.com/playlist?list=PLJ7S-K0cjvGKUshaQbe6S0sVFmQn4bYgM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipO2I_fEysmRQoCAvK6eA6085MBk_jQJ2P6zvgH1?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			Power trio + Deanna Bogart (Tommy Castro's wife) on sax. During drum solo to end set one, Gabe went to Baskin Robbins for a cone and came back eating it. Set two brought up guitarist from the early show. Did not stay for set three. $5 tip jar.
2026-05-30	SatchVai Band	Animals as Leaders	Wolf Trap Filene Center	MULTI:2026-05-30	https://www.youtube.com/playlist?list=PLRk5XHn7Qmz4	-			Animals as Leaders: very metal, both guitarists play 8-string guitars, no traditional bassist. SatchVai Band: Joe Satriani & his drummer, Steve Vai and his rhythm guitarist, and a bass player who also did some vocals. Pure guitar virtuosity. Sat with Lary and Guinness record holder Mike Brown.
2026-05-31	Lyle Lovett		The Birchmere	https://www.setlist.fm/setlist/lyle-lovett/2026/the-birchmere-alexandria-va-7375deb1.html	https://www.youtube.com/playlist?list=PLO1yUE6ISmrg	-			Misquoted Dan mid-set asking "how's that going?"; said "bless you" after a sneeze.
2026-06-04	Jackie Venson		New Spire Arts	https://www.setlist.fm/setlist/jackie-venson/2026/new-spire-arts-frederick-md-737526b1.html	https://www.youtube.com/playlist?list=PLcIl83gdZw2w	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOu6Z0aKjrRPvJKoAgr-5vP_RYntkBqZGcw16eW?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn			Fifth in line with Ed. Ran into Jackie and the band leaving the venue to find food; signed poster and t-shirt again, shared a laugh about them turning the wrong way. Discovery Series.
2026-06-06	Gary Clark Jr.	Christone 'Kingfish' Ingram	Wolf Trap Filene Center	MULTI:2026-06-06	https://www.youtube.com/playlist?list=PLJYzcKs_5RoE	-			Attended with Lary and his brother, and Matt and Tijan Brown; Ed and Bob also in the house. Kingfish: new bass player in his four-piece (keyboards and drummer same). Gary five-piece: drummer, bass, keys, slide/rhythm guitar. Gary brought Kingfish out for a song in the main set - partially missed due to bathroom run.
2026-06-09	John Prine Celebration	Jobi Riccio / Fancy Hagood / Allison Russell / Emmylou Harris / I'm With Her / Margo Price / Lucius / Hayes Carll / Patty Griffin / Tommy Prine	Wolf Trap Filene Center	MULTI:2026-06-09	https://youtube.com/playlist?list=PLbMXa1lXEX-c	-			Sold out show; first experience in the pit seats. Prine's original band + new keyboard/accordion player. Each artist played a Prine cover and an original. Lucius and I'm With Her new discoveries. Allison Russell debuted a new song. Checked Emmylou Harris, Margo Price, and Patty Griffin off the life list. Prine's son led the final set with group sing-along of Paradise. Multiple artist setlists - see issue #43.
