Date	Share Link	Caption / Artist Info
Apr 13, 2024, 12:07:43 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMpS6v7mxImoY-1e64m7ffplgbU-3A6qxJVY1ku?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Danielle Nicole @ Hamilton Live 4/12/24
Apr 14, 2024, 12:41:24 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNDowZBTXmzQGxHlSp_x0eag71Tu1ZtTbx7eSDX?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Judith Hill @ Fillmore Silver Spring 4/13/24
Apr 20, 2024, 2:21:33 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNFUDXw5Va_y5UrBV_8DtkPCAxN9RgJSqZvy9Fn?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Vanessa Collier @ Collective Encore 4/19/24 - her long-time birthday venue when it was called the Soundry
May 18, 2024, 4:13:12 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNnUXarw91vxgW0fTyd9PtZYKt7ZTN3U8Gfiyrg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Joe Cabral, bajo sexto and saxophone player for The Iguanas - Hamilton Live, 5/16/24
May 18, 2024, 4:15:38 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOpyv-ct9MwYJ3VLC-J38qc0zSQa2NlhCTqk0KG?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Sonny Landreth - Hamilton Live 5/16/24
Jun 7, 2024, 1:00:48 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNsE8POTuye3YPms-sL1-QuGW1zUHtHT_5piYWc?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Jackie Venson @ Color Burst Park 6/6/24
Jun 17, 2024, 3:25:30 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPMHXR0v5ZYN__RQaKMxpu5kLxiH5D2eKDLqjc0?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Shaw Davis @ Rams Head Live  6/16/24
Jun 22, 2024, 2:35:10 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNAF3HKme3cOyAK__ZfeyhK0g7-UDriAgCWG3qx?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Buffalo Nichols @ Jammin' Java (VA) 6/21/24
Jun 26, 2024, 3:38:30 AM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipML6kOgBnmP4A-grEM2Oj5ODJUb2dZ7Poz5uhwe?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mikaela Davis (harpist) Pearl Street Warehouse 6/25/24
Jul 19, 2024, 1:12:34 PM	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOz1C0Q7rlxRWUMe0zY1Mbca7LtuIMR-iG-B5fg?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn	Mike Zito @ Birchmere 7/18 | (I was talking instead of smiling, but also my face had just been melted off)
